가	Hangul
ദ	Malayalam
们	Han
ધ	Gujarati
צ	Hebrew
ყ	Georgian
එ	Sinhala
ொ	Tamil
ဘ	Myanmar
ూ	Telugu
၊	Myanmar
하	Hangul
ખ	Gujarati
ચ	Gujarati
의	Hangul
ช	Thai
ष	Devanagari
ผ	Thai
고	Hangul
ೋ	Kannada
;	Basic Latin[g]
ჩ	Georgian
他	Han
ষ	Bengali
ì	Latin-1 Supplement[h]
ఇ	Telugu
은	Hangul
؟	Arabic
ಚ	Kannada
ថ	Khmer
ფ	Georgian
ഞ	Malayalam
ழ	Tamil
ဟ	Myanmar
ड	Devanagari
ึ	Thai
ט	Hebrew
ཆ	Tibetan
ೀ	Kannada
れ	Hiragana
խ	Armenian
了	Han
బ	Telugu
不	Han
ć	Latin
們	Han
և	Armenian
జ	Telugu
ږ	Arabic
ځ	Arabic
ീ	Malayalam
զ	Armenian
ț	Latin
こ	Hiragana
も	Hiragana
ధ	Telugu
ྐ	Tibetan
ྟ	Tibetan
ả	Latin
ડ	Gujarati
ể	Latin
ژ	Arabic
į	Latin
অ	Bengali
ណ	Khmer
உ	Tamil
ಷ	Kannada
ệ	Latin
ী	Bengali
ཤ	Tibetan
์	Thai
你	Han
ಜ	Kannada
ធ	Khmer
ờ	Latin
శ	Telugu
ề	Latin
ռ	Armenian
ొ	Telugu
ಶ	Kannada
ș	Latin
ಆ	Kannada
ശ	Malayalam
ഷ	Malayalam
ښ	Arabic
ഇ	Malayalam
ধ	Bengali
є	Cyrillic
ถ	Thai
를	Hangul
ớ	Latin
ఆ	Telugu
ණ	Sinhala
ং	Bengali
기	Hangul
ګ	Arabic
들	Hangul
ആ	Malayalam
서	Hangul
ণ	Bengali
か	Hiragana
ై	Telugu
’	General Punctuation
फ	Devanagari
ළ	Sinhala
ữ	Latin
ण	Devanagari
리	Hangul
β	Greek and Coptic
ー	Katakana
大	Han
ौ	Devanagari
إ	Arabic
ష	Telugu
ఉ	Telugu
습	Hangul
到	Han
ஒ	Tamil
있	Hangul
ξ	Greek and Coptic
这	Han
ณ	Thai
로	Hangul
ٹ	Arabic
ഒ	Malayalam
う	Hiragana
